body_weight,brain_weight,max_life_span,gestation_time,predation_index,sleep_exposure_index,danger_index,total_sleep
0.0050496,0.139172,2.55831,22.1454,5.04,1.93,3.89,8.66544
0.0101481,0.248139,23.3385,50.5985,1.04,0.96,0.97,20.6062
60.9761,1315.61,100.343,257.72,1.03,0.96,1.04,8.07315
0.122177,2.913,19.2279,28.6809,2.03,1.04,1.05,10.9596
1.41108,7.88176,20.1367,46.2672,2.86,1.01,3.12,10.6979
0.0240183,0.389038,3.2096,19.1405,3.95,1.03,3.13,12.6453
0.0480923,0.33006,2.05196,29.3607,3.85,0.98,3.09,13.1946
1.67646,6.33384,4.99416,11.6176,2.09,0.98,1.03,18.9238
3.39029,11.3027,6.37996,115.875,2.09,1.00,0.99,17.2194
248.568,494.361,24.3575,454.79,4.91,5.08,4.78,10.6517
0.476579,15.3827,12.224,145.749,2.07,1.93,1.99,16.4818
9.64421,113.664,20.613,166.693,4.19,4.07,4.14,11.1346
1.68271,10.9359,13.3656,17.6274,1.91,0.96,2.04,13.1835
189.849,188.194,27.8909,113.608,3.83,4.17,3.93,7.9942
2.4366,12.2108,17.3639,31.4016,4.85,4.79,5.18,7.9998
4.11109,37.494,13.9128,60.196,1.91,1.97,1.99,12.0872
0.273499,1.95586,4.6229,21.3005,2.86,1.02,2.92,12.6291
4.18927,48.2088,9.38773,53.1859,1.02,0.96,0.97,9.64499
6.67547,176.949,29.9985,165.334,1.99,3.08,1.92,9.46519
0.767119,12.0727,7.10788,234.577,2.06,1.96,2.09,6.35276
3.67563,21.6854,5.86401,216.776,3.02,2.00,3.00,5.15738
15.5534,100.949,16.6994,156.649,4.96,5.24,4.80,2.62841
57.7648,167.001,19.8153,152.896,5.16,5.06,5.06,3.86353
1.33188,12.368,12.9741,91.6397,2.05,2.04,2.05,10.4674
0.061237,1.01563,3.59451,142.387,3.03,0.99,2.08,9.99284
0.927604,2.61536,4.56329,60.6906,1.94,0.99,2.05,13.9196
1.95922,11.7408,7.8642,193.774,2.95,1.04,2.85,5.4438
0.107957,2.48432,2.24143,44.1598,2.96,1.97,2.02,15.9721
4.10362,57.0785,24.8029,203.904,4.10,2.99,4.01,9.87888
3.41755,3.94011,2.99318,14.6296,2.09,1.02,0.96,19.1603
3.8591,17.007,12.5608,39.6767,2.96,1.01,1.02,10.7043
